airport_iata_code,iso_country_code
ATL,US
LAX,US
ORD,US
DFW,US
DEN,US
JFK,US
SFO,US
SEA,US
LAS,US
MIA,US
PHX,US
IAH,US
MCO,US
EWR,US
CLT,US
MSP,US
DTW,US
PHL,US
LGA,US
BWI,US
DCA,US
BOS,US
FLL,US
IAD,US
SLC,US
PDX,US
STL,US
MCI,US
CLE,US
PIT,US
CVG,US
IND,US
CMH,US
MKE,US
RDU,US
BNA,US
AUS,US
SJC,US
OAK,US
SAN,US
SNA,US
ONT,US
BUR,US
LGB,US
PSP,US
SMF,US
FAT,US
BFL,US
MRY,US
SBP,US
SBA,US
LHR,GB
CDG,FR
FRA,DE
AMS,NL
MAD,ES
FCO,IT
BCN,ES
ZUR,CH
VIE,AT
BRU,BE
DUB,IE
CPH,DK
ARN,SE
OSL,NO
HEL,FI
WAW,PL
PRG,CZ
BUD,HU
BEG,RS
ZAG,HR
LJU,SI
SKG,GR
ATH,GR
IST,TR
SAW,TR
DXB,AE
DOH,QA
AUH,AE
KWI,KW
BAH,BH
RUH,SA
JED,SA
CAI,EG
TUN,TN
ALG,DZ
CMN,MA
DKR,SN
ABJ,CI
LFW,TG
LOS,NG
KAN,NG
ABV,NG
DXB,AE
DOH,QA
AUH,AE
KWI,KW
BAH,BH
RUH,SA
JED,SA
CAI,EG
TUN,TN
ALG,DZ
CMN,MA
DKR,SN
ABJ,CI
LFW,TG
LOS,NG
KAN,NG
ABV,NG
NBO,KE
DAR,TZ
JNB,ZA
CPT,ZA
DUR,ZA
PLZ,ZA
GRJ,ZA
ELS,ZA
BFN,ZA
PTG,ZA
KIM,ZA
UTN,ZA
PE,ZA
DUR,ZA
PLZ,ZA
GRJ,ZA
ELS,ZA
BFN,ZA
PTG,ZA
KIM,ZA
UTN,ZA
PE,ZA
