bag_id,pnr_id,flight_number,bag_weight_kg,bag_dimensions_cm,bag_type,special_handling,priority_tag,security_flag,bag_status,check_in_time,boarding_time
BAG00001,PNR00001,1000,7.9,45x30x15,Oversized,0,0,0,In Transit,2024-01-15T14:24:00,2024-01-15T15:32:00
BAG00002,PNR00001,1000,26.8,45x30x15,Transfer,0,0,0,Offloaded,2024-01-15T14:13:00,2024-01-15T15:15:00
BAG00003,PNR00001,1000,24.7,55x40x20,Gate-Check,0,0,0,Checked In,2024-01-15T13:59:00,2024-01-15T15:13:00
BAG00004,PNR00001,1000,20.5,70x55x35,Priority,0,0,0,Offloaded,2024-01-15T11:58:00,2024-01-15T15:27:00
BAG00005,PNR00002,1000,6.5,60x45x25,Transfer,0,0,0,Loaded,2024-01-15T13:13:00,2024-01-15T15:17:00
BAG00006,PNR00006,1001,22.6,65x50x30,Oversized,1,0,0,Loaded,2024-01-15T11:05:00,2024-01-15T12:29:00
BAG00007,PNR00006,1001,15.2,70x55x35,Priority,1,1,0,Delivered,2024-01-15T11:45:00,2024-01-15T12:37:00
BAG00008,PNR00008,1001,31.9,60x45x25,Transfer,0,0,0,Loaded,2024-01-15T10:30:00,2024-01-15T12:14:00
BAG00009,PNR00008,1001,9.9,70x55x35,Carry-On,0,0,0,Checked In,2024-01-15T10:48:00,2024-01-15T12:30:00
BAG00010,PNR00008,1001,19.1,50x35x18,Checked,0,0,0,Delivered,2024-01-15T09:16:00,2024-01-15T12:05:00
BAG00011,PNR00008,1001,26.8,70x55x35,Oversized,0,0,0,In Transit,2024-01-15T10:34:00,2024-01-15T12:39:00
BAG00012,PNR00009,1001,30.6,70x55x35,Priority,0,1,0,Offloaded,2024-01-15T10:57:00,2024-01-15T12:17:00
BAG00013,PNR00009,1001,22.6,45x30x15,Transfer,0,0,0,Offloaded,2024-01-15T09:45:00,2024-01-15T12:23:00
BAG00014,PNR00009,1001,16.1,70x55x35,Transfer,1,1,0,Checked In,2024-01-15T09:55:00,2024-01-15T12:08:00
BAG00015,PNR00009,1001,23.7,70x55x35,Transfer,0,0,0,Checked In,2024-01-15T08:56:00,2024-01-15T12:19:00
BAG00016,PNR00010,1002,23.8,70x55x35,Oversized,0,0,0,Loaded,2024-01-15T12:48:00,2024-01-15T14:38:00
BAG00017,PNR00010,1002,16.3,45x30x15,Fragile,0,0,0,Loaded,2024-01-15T12:16:00,2024-01-15T14:42:00
BAG00018,PNR00013,1002,23.2,55x40x20,Priority,1,0,0,Delivered,2024-01-15T12:04:00,2024-01-15T14:21:00
BAG00019,PNR00013,1002,17.5,55x40x20,Fragile,0,0,0,Loaded,2024-01-15T11:34:00,2024-01-15T14:44:00
BAG00020,PNR00013,1002,17.1,70x55x35,Oversized,0,0,1,In Transit,2024-01-15T12:28:00,2024-01-15T14:41:00
BAG00021,PNR00014,1002,13.6,70x55x35,Gate-Check,1,1,0,Loaded,2024-01-15T13:22:00,2024-01-15T14:26:00
BAG00022,PNR00014,1002,10.3,50x35x18,Fragile,0,0,0,Loaded,2024-01-15T13:15:00,2024-01-15T14:26:00
BAG00023,PNR00015,1003,8.6,55x40x20,Fragile,0,0,0,Delivered,2024-01-15T08:06:00,2024-01-15T10:05:00
BAG00024,PNR00015,1003,17.4,45x30x15,Priority,0,0,0,Loaded,2024-01-15T07:19:00,2024-01-15T10:14:00
BAG00025,PNR00016,1003,15.3,55x40x20,Fragile,0,0,0,Offloaded,2024-01-15T08:17:00,2024-01-15T10:34:00
BAG00026,PNR00016,1003,5.9,60x45x25,Fragile,0,0,0,Loaded,2024-01-15T09:14:00,2024-01-15T10:12:00
BAG00027,PNR00017,1003,13.2,50x35x18,Priority,0,0,0,Checked In,2024-01-15T07:32:00,2024-01-15T10:24:00
BAG00028,PNR00017,1003,8.1,60x45x25,Transfer,0,0,0,In Transit,2024-01-15T07:21:00,2024-01-15T10:19:00
BAG00029,PNR00018,1003,31.6,65x50x30,Carry-On,0,0,0,Offloaded,2024-01-15T08:36:00,2024-01-15T10:30:00
BAG00030,PNR00018,1003,25.3,70x55x35,Oversized,0,0,0,Offloaded,2024-01-15T09:08:00,2024-01-15T10:22:00
BAG00031,PNR00019,1003,20.5,60x45x25,Checked,0,1,0,Delivered,2024-01-15T08:03:00,2024-01-15T10:20:00
BAG00032,PNR00019,1003,26.5,50x35x18,Checked,0,0,0,Delivered,2024-01-15T08:46:00,2024-01-15T10:25:00
BAG00033,PNR00019,1003,29.4,45x30x15,Carry-On,1,1,0,Loaded,2024-01-15T08:26:00,2024-01-15T10:03:00
BAG00034,PNR00019,1003,23.1,55x40x20,Oversized,0,0,0,Checked In,2024-01-15T09:19:00,2024-01-15T10:09:00
BAG00035,PNR00020,1003,11.1,45x30x15,Gate-Check,1,0,0,Checked In,2024-01-15T09:37:00,2024-01-15T10:18:00
BAG00036,PNR00020,1003,12,60x45x25,Transfer,0,0,0,In Transit,2024-01-15T08:02:00,2024-01-15T10:20:00
BAG00037,PNR00020,1003,24.6,70x55x35,Priority,0,0,0,Delivered,2024-01-15T08:19:00,2024-01-15T10:10:00
BAG00038,PNR00020,1003,21.7,65x50x30,Carry-On,1,0,0,In Transit,2024-01-15T08:24:00,2024-01-15T10:05:00
BAG00039,PNR00020,1003,12,55x40x20,Fragile,0,0,0,Offloaded,2024-01-15T09:15:00,2024-01-15T10:28:00
BAG00040,PNR00022,1004,8.6,50x35x18,Gate-Check,0,0,0,Delivered,2024-01-15T06:38:00,2024-01-15T07:57:00
BAG00041,PNR00022,1004,17.1,55x40x20,Checked,0,0,0,Offloaded,2024-01-15T06:35:00,2024-01-15T07:43:00
BAG00042,PNR00022,1004,25.5,70x55x35,Fragile,1,0,0,Loaded,2024-01-15T05:46:00,2024-01-15T07:55:00
BAG00043,PNR00023,1004,30.6,55x40x20,Priority,0,0,0,Loaded,2024-01-15T04:45:00,2024-01-15T07:41:00
