pnr_id,company_id,flight_number,scheduled_departure_date_local,passenger_count,special_service_requests,meal_preference,wheelchair_assistance,unaccompanied_minor,pet_travel,group_booking
PNR00001,UA,1000,2024-01-15,2,0,Vegetarian,0,0,0,0
PNR00002,UA,1000,2024-01-15,2,4,Halal,0,0,0,0
PNR00003,UA,1000,2024-01-15,5,1,Gluten-Free,0,0,0,1
PNR00004,UA,1001,2024-01-15,6,2,Diabetic,0,0,0,1
PNR00005,UA,1001,2024-01-15,2,0,Kosher,0,0,0,0
PNR00006,UA,1001,2024-01-15,3,4,Low-Sodium,0,0,0,0
PNR00007,UA,1001,2024-01-15,4,0,Halal,0,0,1,1
PNR00008,UA,1001,2024-01-15,3,2,Diabetic,0,0,0,0
PNR00009,UA,1001,2024-01-15,6,4,Vegetarian,0,0,0,0
PNR00010,UA,1002,2024-01-15,1,1,Halal,1,0,0,0
PNR00011,UA,1002,2024-01-15,1,3,Vegan,0,0,0,0
PNR00012,UA,1002,2024-01-15,1,1,Kosher,0,1,0,0
PNR00013,UA,1002,2024-01-15,3,4,Diabetic,0,1,0,0
PNR00014,UA,1002,2024-01-15,1,3,Low-Sodium,0,0,0,0
PNR00015,UA,1003,2024-01-15,4,4,Halal,0,0,0,0
PNR00016,UA,1003,2024-01-15,2,0,Standard,0,0,0,0
PNR00017,UA,1003,2024-01-15,3,4,Vegetarian,0,0,1,0
PNR00018,UA,1003,2024-01-15,3,3,Low-Sodium,0,0,0,0
PNR00019,UA,1003,2024-01-15,2,3,Diabetic,0,1,0,0
PNR00020,UA,1003,2024-01-15,6,0,Vegetarian,0,0,0,1
PNR00021,UA,1004,2024-01-15,1,3,Halal,0,0,0,0
PNR00022,UA,1004,2024-01-15,6,1,Standard,0,1,0,0
PNR00023,UA,1004,2024-01-15,1,4,Gluten-Free,0,0,0,0
PNR00024,UA,1004,2024-01-15,6,3,Kosher,0,0,0,0
PNR00025,UA,1005,2024-01-15,1,0,Kosher,0,0,0,0
PNR00026,UA,1005,2024-01-15,6,3,Halal,1,0,0,0
PNR00027,UA,1005,2024-01-15,3,4,Low-Sodium,0,0,0,0
PNR00028,UA,1005,2024-01-15,1,1,Vegetarian,0,0,0,0
PNR00029,UA,1006,2024-01-15,1,0,Gluten-Free,0,0,0,0
PNR00030,UA,1006,2024-01-15,5,2,Vegetarian,0,0,0,0
PNR00031,UA,1006,2024-01-15,6,4,Diabetic,1,0,0,0
PNR00032,UA,1006,2024-01-15,1,3,Kosher,0,0,0,0
PNR00033,UA,1006,2024-01-15,2,3,Vegetarian,0,0,0,0
PNR00034,UA,1007,2024-01-15,5,1,Vegetarian,0,0,0,0
PNR00035,UA,1007,2024-01-15,2,4,Halal,0,0,0,0
PNR00036,UA,1007,2024-01-15,1,2,Low-Sodium,0,0,0,0
PNR00037,UA,1007,2024-01-15,5,0,Diabetic,0,0,0,0
PNR00038,UA,1007,2024-01-15,3,1,Kosher,0,0,0,0
PNR00039,UA,1007,2024-01-15,5,3,Kosher,0,0,0,0
PNR00040,UA,1007,2024-01-15,2,0,Vegetarian,0,1,1,0
PNR00041,UA,1007,2024-01-15,2,2,Vegetarian,0,0,0,0
PNR00042,UA,1008,2024-01-15,4,2,Low-Sodium,1,1,0,0
PNR00043,UA,1008,2024-01-15,5,4,Vegetarian,0,0,0,1
PNR00044,UA,1008,2024-01-15,1,3,Halal,1,0,0,0
PNR00045,UA,1008,2024-01-15,6,0,Vegetarian,0,0,0,0
PNR00046,UA,1009,2024-01-15,4,0,Diabetic,0,0,0,0
PNR00047,UA,1009,2024-01-15,5,1,Low-Sodium,0,0,0,1
PNR00048,UA,1009,2024-01-15,5,3,Standard,0,0,0,0
PNR00049,UA,1010,2024-01-15,2,0,Standard,0,0,0,0
PNR00050,UA,1010,2024-01-15,1,1,Vegetarian,0,0,0,0
PNR00051,UA,1010,2024-01-15,6,0,Vegetarian,0,0,0,0
PNR00052,UA,1010,2024-01-15,6,3,Gluten-Free,0,0,0,0
PNR00053,UA,1010,2024-01-15,3,2,Gluten-Free,0,0,0,0
PNR00054,UA,1010,2024-01-15,5,4,Halal,0,0,0,0
PNR00055,UA,1011,2024-01-15,2,3,Vegetarian,0,0,0,0
PNR00056,UA,1011,2024-01-15,2,1,Diabetic,0,0,0,0
PNR00057,UA,1011,2024-01-15,4,4,Vegan,0,0,0,0
PNR00058,UA,1011,2024-01-15,3,4,Low-Sodium,0,0,0,0
PNR00059,UA,1011,2024-01-15,4,2,Standard,0,0,0,0
PNR00060,UA,1011,2024-01-15,3,3,Halal,0,0,0,0
PNR00061,UA,1011,2024-01-15,5,4,Low-Sodium,0,0,0,0
