pnr_id,remark_code,remark_text,remark_category,priority_level,created_date,resolved_date,status
PNR00001,SSR,Pet travel approved,Special Service,Low,2024-01-15T14:07:00,2024-01-15T15:44:00,Resolved
PNR00002,SSR,Group booking special handling,Special Service,Medium,2024-01-15T13:35:00,2024-01-15T14:44:00,Resolved
PNR00003,SSR,Pet travel approved,Special Service,Medium,2024-01-15T10:46:00,2024-01-15T11:32:00,Resolved
PNR00003,SSR,Group booking special handling,Special Service,High,2024-01-15T14:32:00,2024-01-15T15:06:00,Resolved
PNR00003,SSR,Wheelchair assistance needed,Special Service,Low,2024-01-15T10:49:00,2024-01-15T11:31:00,Resolved
PNR00004,SSR,Unaccompanied minor,Special Service,Medium,2024-01-15T10:24:00,2024-01-15T11:30:00,Resolved
PNR00004,SSR,Stretcher case,Special Service,Low,2024-01-15T11:24:00,2024-01-15T12:54:00,Resolved
PNR00005,SSR,Standard meal preference,Special Service,High,2024-01-15T11:47:00,2024-01-15T12:00:00,Resolved
PNR00005,SSR,Wheelchair assistance confirmed,Special Service,Medium,2024-01-15T09:54:00,2024-01-15T11:23:00,Resolved
PNR00006,SSR,Special baggage: musical instrument,Special Service,High,2024-01-15T08:48:00,2024-01-15T09:46:00,Resolved
PNR00007,SSR,Extra legroom requested,Special Service,Medium,2024-01-15T10:44:00,2024-01-15T11:17:00,Resolved
PNR00007,SSR,Group booking confirmed,Special Service,High,2024-01-15T08:15:00,2024-01-15T08:53:00,Resolved
PNR00007,SSR,Bassinet seat requested,Special Service,Low,2024-01-15T10:05:00,2024-01-15T10:22:00,Resolved
PNR00008,SSR,Unaccompanied minor confirmed,Special Service,Medium,2024-01-15T10:51:00,2024-01-15T11:30:00,Resolved
PNR00008,SSR,Special baggage: musical instrument,Special Service,High,2024-01-15T11:00:00,2024-01-15T12:05:00,Resolved
PNR00009,SSR,Deaf/hard of hearing passenger,Special Service,Medium,2024-01-15T08:26:00,2024-01-15T10:22:00,Pending
PNR00012,SSR,Medical assistance required,Special Service,High,2024-01-15T10:40:00,2024-01-15T11:15:00,Resolved
PNR00013,SSR,Extra legroom requested,Special Service,Medium,2024-01-15T12:49:00,2024-01-15T13:42:00,Resolved
PNR00014,SSR,Group booking confirmed,Special Service,High,2024-01-15T12:44:00,2024-01-15T14:09:00,Resolved
PNR00015,SSR,Deaf/hard of hearing passenger,Special Service,Medium,2024-01-15T08:13:00,2024-01-15T09:07:00,Resolved
PNR00016,SSR,Standard meal preference,Special Service,High,2024-01-15T07:34:00,2024-01-15T08:04:00,Resolved
PNR00016,SSR,Vegetarian meal requested,Special Service,Low,2024-01-15T07:12:00,2024-01-15T09:12:00,Resolved
PNR00016,SSR,Bassinet seat requested,Special Service,Medium,2024-01-15T08:11:00,2024-01-15T09:22:00,Resolved
PNR00017,SSR,Standard meal confirmed,Special Service,Low,2024-01-15T09:44:00,2024-01-15T10:03:00,Resolved
PNR00017,SSR,Vegetarian meal requested,Special Service,High,2024-01-15T07:46:00,2024-01-15T09:03:00,Resolved
PNR00017,SSR,Special baggage: musical instrument,Special Service,Low,2024-01-15T06:27:00,2024-01-15T07:51:00,Resolved
PNR00018,SSR,Gluten-free meal confirmed,Special Service,Low,2024-01-15T08:45:00,2024-01-15T10:24:00,Resolved
PNR00018,SSR,Pet travel confirmed,Special Service,Medium,2024-01-15T07:47:00,2024-01-15T08:56:00,Resolved
PNR00019,SSR,Unaccompanied minor,Special Service,High,2024-01-15T08:12:00,2024-01-15T08:49:00,Resolved
PNR00019,SSR,Group booking confirmed,Special Service,Low,2024-01-15T08:04:00,2024-01-15T08:26:00,Resolved
PNR00019,SSR,Vegetarian meal confirmed,Special Service,Low,2024-01-15T06:44:00,2024-01-15T07:02:00,Resolved
PNR00021,SSR,Pet travel confirmed,Special Service,Medium,2024-01-15T05:22:00,2024-01-15T07:18:00,Resolved
PNR00021,SSR,Service animal onboard,Special Service,Medium,2024-01-15T03:58:00,2024-01-15T05:40:00,Resolved
PNR00022,SSR,Service animal onboard,Special Service,Low,2024-01-15T06:49:00,2024-01-15T07:49:00,Resolved
PNR00023,SSR,Pet travel approved,Special Service,Low,2024-01-15T05:40:00,2024-01-15T07:02:00,Resolved
PNR00025,SSR,Wheelchair assistance confirmed,Special Service,High,2024-01-15T08:28:00,2024-01-15T08:43:00,Resolved
PNR00026,SSR,Gluten-free meal confirmed,Special Service,Low,2024-01-15T08:11:00,2024-01-15T09:55:00,Resolved
PNR00026,SSR,Group booking special handling,Special Service,Medium,2024-01-15T09:06:00,2024-01-15T10:25:00,Resolved
PNR00026,SSR,Vegetarian meal requested,Special Service,High,2024-01-15T08:55:00,2024-01-15T10:20:00,Resolved
PNR00027,SSR,Pet travel approved,Special Service,Medium,2024-01-15T10:06:00,2024-01-15T10:27:00,Resolved
PNR00027,SSR,Pet travel approved,Special Service,Low,2024-01-15T07:12:00,2024-01-15T08:35:00,Resolved
PNR00030,SSR,Pet travel approved,Special Service,Medium,2024-01-15T10:27:00,2024-01-15T12:06:00,Resolved
PNR00033,SSR,Vegetarian meal confirmed,Special Service,Low,2024-01-15T08:47:00,2024-01-15T10:35:00,Resolved
PNR00034,SSR,Oxygen equipment required,Special Service,High,2024-01-15T08:34:00,2024-01-15T09:36:00,Resolved
